id,web_name,status,defensive_contribution_per_90,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,match_id,minutes_played,goals,assists,minutesinmatch,goalsinmatch,assistsinmatch,cumminutes,cumgoals,cumassists,cumcleansheets,cumgoalsconceded,cumsaves,position
1,Raya,a,0,10,90,0,0,1,0,25-26-prem-manchester-united-vs-arsenal,90,0,0,90,0,0,90,0,0,1,0,7,Goalkeeper
2,Arrizabalaga,a,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Goalkeeper
3,Hein,u,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Goalkeeper
4,Setford,a,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Goalkeeper
5,Gabriel,i,9.09,6,90,0,0,1,0,25-26-prem-manchester-united-vs-arsenal,90,0,0,90,0,0,90,0,0,1,0,0,Defender
6,Saliba,d,6.86,9,90,0,0,1,0,25-26-prem-manchester-united-vs-arsenal,90,0,0,90,0,0,90,0,0,1,0,0,Defender
7,Calafiori,s,6.02,13,71,1,0,1,0,25-26-prem-manchester-united-vs-arsenal,72,1,0,72,1,0,71,1,0,1,0,0,Defender
8,J.Timber,d,6.09,0,19,0,0,0,0,25-26-prem-manchester-united-vs-arsenal,19,0,0,19,0,0,19,0,0,0,0,0,Defender
9,Kiwior,u,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Defender
10,Lewis-Skelly,a,5.29,0,18,0,0,0,0,25-26-prem-manchester-united-vs-arsenal,18,0,0,18,0,0,18,0,0,0,0,0,Defender
11,White,a,9.36,6,70,0,0,1,0,25-26-prem-manchester-united-vs-arsenal,71,0,0,71,0,0,70,0,0,1,0,0,Defender
13,Clarke,a,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Defender
14,Kacurri,u,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Defender
15,Nichols,a,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Defender
16,Saka,a,7.9,3,90,0,0,1,0,25-26-prem-manchester-united-vs-arsenal,90,0,0,90,0,0,90,0,0,1,0,0,Midfielder
17,Ødegaard,a,8.26,5,90,0,0,1,0,25-26-prem-manchester-united-vs-arsenal,90,0,0,90,0,0,90,0,0,1,0,0,Midfielder
18,Madueke,a,4.29,1,30,0,0,0,0,25-26-prem-manchester-united-vs-arsenal,30,0,0,30,0,0,30,0,0,0,0,0,Midfielder
19,Martinelli,a,5.12,1,59,0,0,0,0,25-26-prem-manchester-united-vs-arsenal,60,0,0,60,0,0,59,0,0,0,0,0,Midfielder
20,Trossard,d,4.74,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Midfielder
21,Rice,d,10.55,6,82,0,1,1,0,25-26-prem-manchester-united-vs-arsenal,83,0,1,83,0,0,82,0,1,1,0,0,Midfielder
22,Merino,a,8.94,1,7,0,0,0,0,25-26-prem-manchester-united-vs-arsenal,7,0,0,7,0,0,7,0,0,0,0,0,Midfielder
23,Fábio Vieira,u,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Midfielder
24,Nørgaard,a,25.71,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Midfielder
25,Nwaneri,a,7.09,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Midfielder
26,Zubimendi,a,8.48,5,90,0,0,1,0,25-26-prem-manchester-united-vs-arsenal,90,0,0,90,0,0,90,0,0,1,0,0,Midfielder
28,Kabia,u,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Midfielder
29,Sambi,u,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Midfielder
30,Havertz,i,9,1,30,0,0,0,0,25-26-prem-manchester-united-vs-arsenal,30,0,0,30,0,0,30,0,0,0,0,0,Forward
31,G.Jesus,a,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Forward
266,Eze,a,5.87,3,83,0,0,1,0,25-26-prem-chelsea-vs-crystal-palace,84,0,0,84,0,0,83,0,0,1,0,0,Midfielder
662,Mosquera,i,7.34,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Defender
666,Gyökeres,a,3.2,1,59,0,0,0,0,25-26-prem-manchester-united-vs-arsenal,60,0,0,60,0,0,59,0,0,0,0,0,Forward
700,Dowman,i,10,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Midfielder
711,Harriman-Annous,a,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Midfielder
