id,web_name,status,defcons,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,match_id,minutes_played,goals,assists,minutesinmatch,goalsinmatch,assistsinmatch,cumminutes,cumgoals,cumassists,cumcleansheets,cumgoalsconceded,cumsaves,position,nextgwpoints,gw2status,gw2min,gw2goalsscored,gw2assists,gw2cs,gw2goals_conceded,gw2defcons,gw2match-id,gw2minutes_playedinmatch,gw2goalsinmatch,gw2assistsinmatch,gw2cummins,gw2cumgoals,gw2cumassits,gw2cumcs,gw2cumgoalsconceded,gw2cumsaves,gw3status,gw3min,gw3goalsscored,gw3assists,gw3cs,gw3defcons,gw3points,gw3match-id,gw3minutes_playedinmatch,gw3goalsinmatch,gw3goals_conceded,gw3assistsinmatch,gw3cummins,gw3cumgoals,gw3cumassists,gw3cumcs,gw3cumgoalsconceded,gw3cumsdefcons,gw3cumsaves,gw3cumtotalpoints,nwxtgwpoints
1,Raya,a,0,10,90,0,0,1,0,25-26-prem-manchester-united-vs-arsenal,90,0,0,90,0,0,90,0,0,1,0,7,Goalkeeper,6,a,90,0,0,1,0,17,25-26-prem-arsenal-vs-leeds-united,90,0,0,180,0,0,0,2,0,a,90,0,0,0,1,12,25-26-prem-liverpool-vs-arsenal,90,0,1,0,270,0,0,2,1,29,10,18,6
2,Arrizabalaga,a,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Goalkeeper,0,a,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,0,a,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,0,0,0,0,0,0,0,0,0
3,Hein,u,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Goalkeeper,0,a,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,0,u,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,0,0,0,0,0,0,0,0,0
4,Setford,a,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Goalkeeper,0,a,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,0,a,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,0,0,0,0,0,0,0,0,0
5,Gabriel,i,7,6,90,0,0,1,0,25-26-prem-manchester-united-vs-arsenal,90,0,0,90,0,0,90,0,0,1,0,0,Defender,6,a,90,0,0,1,0,8,25-26-prem-arsenal-vs-leeds-united,90,0,0,180,0,0,0,2,0,a,90,0,0,0,1,9,25-26-prem-liverpool-vs-arsenal,90,0,1,0,270,0,0,2,1,24,0,14,0
6,Saliba,d,14,9,90,0,0,1,0,25-26-prem-manchester-united-vs-arsenal,90,0,0,90,0,0,90,0,0,1,0,0,Defender,6,a,90,0,0,1,0,12,25-26-prem-arsenal-vs-leeds-united,90,0,0,180,0,0,0,2,0,a,4,0,0,0,0,3,25-26-prem-liverpool-vs-arsenal,5,0,0,0,184,0,0,2,0,29,0,16,1
7,Calafiori,s,4,13,71,1,0,1,0,25-26-prem-manchester-united-vs-arsenal,72,1,0,72,1,0,71,1,0,1,0,0,Defender,13,a,63,0,2,1,0,7,25-26-prem-arsenal-vs-leeds-united,64,0,2,134,1,1,2,2,0,a,90,0,0,0,1,10,25-26-prem-liverpool-vs-arsenal,90,0,1,0,224,1,2,2,1,21,0,28,0
8,J.Timber,d,3,0,19,0,0,0,0,25-26-prem-manchester-united-vs-arsenal,19,0,0,19,0,0,19,0,0,0,0,0,Defender,24,a,63,2,1,1,0,8,25-26-prem-arsenal-vs-leeds-united,64,2,1,82,2,2,1,1,0,a,90,0,0,0,1,11,25-26-prem-liverpool-vs-arsenal,90,0,1,0,172,2,1,1,1,22,0,26,0
9,Kiwior,u,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,Defender,0,a,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,0,0,0,0,0,0,a,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,0,0,0,0,0,0,0,0,9
10,Lewis-Skelly,a,1,0,18,0,0,0,0,25-26-prem-manchester-united-vs-arsenal,18,0,0,18,0,0,18,0,0,0,0,0,Defender,1,a,26,0,0,0,0,3,25-26-prem-arsenal-vs-leeds-united,26,0,0,44,0,0,0,0,0,a,0,0,0,0,0,0,#N/A,#N/A,#N/A,0,#N/A,44,0,0,0,0,4,0,1,0
